seller_id,seller_city,seller_state,total_orders,total_units_sold,total_revenue,total_freight,avg_product_price,avg_review_score,avg_delivery_days
0015a82c2db000af6aaaf3ae2ecb0532,santo andre,SP,3,3,2685.0,63.06,895.0,3.67,10.67
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,200,239,25080.03,8854.14,104.94,3.9,13.11
001e6ad469a905060d959994f1b41e4f,sao goncalo,RJ,1,1,250.0,17.94,250.0,1.0,
002100f778ceb8431b7a1020ff7ab48f,franca,SP,51,55,1234.5,793.66,22.45,3.98,16.0
003554e2dce176b5555353e4f3555ac8,goiania,GO,1,1,120.0,19.38,120.0,5.0,4.0
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,158,170,19712.71,3551.23,115.96,4.14,14.42
00720abe85ba0859807595bbf045a33b,guarulhos,SP,13,26,1007.5,315.98,38.75,3.65,8.38
00ab3eff1b5192e5f1a63bcecfee11c8,sao paulo,SP,1,1,98.0,12.08,98.0,5.0,9.0
00d8b143d12632bad99c0ad66ad52825,belo horizonte,MG,1,1,86.0,51.1,86.0,5.0,7.0
00ee68308b45bc5e2660cd833c3f81cc,sao paulo,SP,135,172,20260.0,3180.66,117.79,4.33,9.07
00fc707aaaad2d31347cf883cd2dfe10,maringa,PR,103,135,12684.9,2285.09,93.96,3.79,15.7
010543a62bd80aa422851e79a3bc7540,sao paulo,SP,2,2,1416.0,31.95,708.0,4.5,9.0
010da0602d7774602cd1b3f5fb7b709e,sao bernardo do campo,SP,1,5,849.5,230.25,169.9,1.0,26.0
011b0eaba87386a2ae96a7d32bb531d1,pompeia,SP,1,2,99.98,29.18,49.99,4.0,25.0
01266d4c46afa519678d16a8b683d325,curitiba,PR,3,3,90.25,47.23,30.08,5.0,6.0
013900e863eace745d3ec7614cab5b1a,curitiba,PR,23,26,1619.7,469.67,62.3,4.73,11.31
014c0679dd340a0e338872e7ec85666a,timoteo,MG,14,15,7058.0,628.31,470.53,3.67,19.07
014d9a685fd57276679edd00e07089e5,maringa,PR,11,12,729.88,146.93,60.82,3.83,8.75
0176f73cc1195f367f7b32db1e5b3aa8,ibitinga,SP,38,39,4733.1,1287.01,121.36,4.03,13.42
01bcc9d254a0143f0ce9791b960b2a47,uruacu,GO,11,11,1521.21,277.66,138.29,4.4,12.7
01c97ebb5cdac52891c0ed1c37ba0012,catanduva,SP,9,12,577.5,178.5,48.13,4.08,12.5
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,61,67,9729.36,2008.82,145.21,4.21,11.52
01ed254b9ff8407dfb9d99ba1e17d923,mogi das cruzes,SP,5,5,1465.99,67.72,293.2,5.0,6.6
01fd077212124329bac32490e8ef80d9,ribeirao preto / sao paulo,SP,31,39,1208.0,575.36,30.97,4.31,7.82
01fdefa7697d26ad920e9e0346d4bd1b,londrina,PR,129,131,14921.43,2768.64,113.9,4.35,10.68
0241d4d5d36f10f80c644447315af0bd,curitiba,PR,238,246,31397.7,6853.91,127.63,4.31,10.89
0249d282d911d23cb8b869ab49c99f53,sao paulo,SP,11,11,393.0,138.88,35.73,4.27,10.0
024b564ae893ce8e9bfa02c10a401ece,sao paulo,SP,2,8,706.4,212.0,88.3,4.75,18.25
028872bfa080090a9d0abd4f1af168f8,ribeirao das neves,MG,1,3,70.5,47.37,23.5,5.0,16.0
02a2272692e13558373c66db98f05e2e,rio de janeiro,RJ,2,2,54.98,38.87,27.49,3.0,
02b72cdeb9cfcc429f1af6f4e3f3b737,ibitinga,SP,4,4,522.65,225.99,130.66,4.75,12.5
02c988090b766852e088c69d7fb3b551,americana,SP,13,17,1618.65,218.3,95.21,4.69,8.56
02d35243ea2e497335cd0f076b45675d,natal,RN,14,16,5794.0,605.95,362.13,2.69,25.75
02dcd3e8e25bee036e32512bcf175493,contagem,MG,14,17,1491.9,312.17,87.76,3.59,17.27
02ecc2a19303f05e59ce133fd923fff7,santo andre,SP,21,24,5264.19,478.21,219.34,4.54,10.79
02f5837340d7eb4f653d676c7256523a,curitiba,PR,30,30,3883.05,580.83,129.44,4.83,9.6
02f623a8eb246f3c5f7c2f96462654e6,botucatu,SP,44,44,6378.0,829.63,144.95,4.56,8.41
0307f7565ff85b299b6e5ef162b1b1a9,sao jose do rio preto,SP,7,7,4728.8,274.77,675.54,3.14,15.17
0336182e1b3e92f029d5354832045fdf,ibitinga,SP,1,2,29.8,17.57,14.9,2.0,13.0
